artist,album,play_count
Richie Hawtin,"Decks, EFX & 909",213
ScHoolboy Q,Blank Face LP,182
Injury Reserve,Floss,153
Yves Tumor,Safe In The Hands Of Love,153
Sufjan Stevens,Illinois,141
Travis Scott,Birds In The Trap Sing McKnight,138
Danny Brown,Atrocity Exhibition,137
Avey Tare,Cows on Hourglass Pond,136
DJ Healer,Planet Lonely,134
Caroline Polachek,Pang,133
Playboi Carti,Die Lit,132
Danny Brown,uknowhatimsayin¿,125
Deerhunter,Halcyon Digest,125
Earl Sweatshirt,Some Rap Songs,125
Run the Jewels,RTJ3,125
Frank Ocean,Blonde,119
Kate Bush,Hounds of Love,114
Mitski,Be the Cowboy,108
Kendrick Lamar,DAMN.,107
Boards of Canada,Geogaddi,105
SPELLLING,Mazy Fly,104
070 Shake,Modus Vivendi,103
Perfume Genius,No Shape,102
A$AP Rocky,At.Long.Last.A$AP,101
Big Thief,Capacity,101
Travis Scott,ASTROWORLD,100
Cocteau Twins,Blue Bell Knoll,99
Broadcast,The Noise Made by People,97
Animal Collective,Feels,96
Kaytranada,99.9%,96
Kids See Ghosts,Kids See Ghosts,96
Bladee,ICEDANCER,95
Animal Collective,Sung Tongs,94
Death Grips,Bottomless Pit,93
Earl Sweatshirt,Doris,92
Frank Ocean,Endless,92
Isaiah Rashad,Cilvia Demo,91
Kanye West,The Life of Pablo,91
Kelela,Take Me Apart,90
Bogdan Raczynski,Rave 'Till You Cry,89
Aphex Twin,Selected Ambient Works 85-92,88
Powder,Powder in Space (DJ Mix),87
My Bloody Valentine,Loveless (+1),86
Adrianne Lenker,abysskiss,84
Boards of Canada,Tomorrow's Harvest,84
Avey Tare,Eucalyptus,82
Jessica Pratt,Quiet Signs,82
Caleb Giles,Under the Shade,81
Deerhoof,The Runners Four,80
Suzi Analogue,ZONEZ V.4: Love Me Louder,80
Animal Collective,Fall Be Kind,79
Bjarki,Happy Earthday,79
Julie Byrne,Not Even Happiness,79
Kanye West,Ye,78
Cranes,Forever,77
Ecco2k,E,77
Loren Mazzacane Connors,Airs,77
Laurel Halo,Quarantine,76
BROCKHAMPTON,iridescence,75
Young Thug,Slime Language,75
BROCKHAMPTON,SATURATION III,74
Mike,May God Bless Your Hustle,74
Paula Temple,Edge Of Everything,74
Aleksi Perälä,Sunshine 3,73
Björk,Homogenic,73
Childish Gambino,because the internet [Clean],73
RP Boo,I'll Tell You What!,73
Thaiboy Digital,Trash Island,73
Aphex Twin,Richard D. James Album,72
Klein,Lifetime,72
Panda Bear,Person Pitch,72
Solange,A Seat at the Table,72
Supercar,スリーアウトチェンジ,72
Thouxanbanfauni,For Christ Sake 2,72
Broadcast,Tender Buttons,71
Dean Blunt,Black Metal,71
Julia Holter,Aviary,71
M83,Before the Dawn Heals Us,70
Autechre,Oversteps,69
Bon Iver,"22, A Million",69
Bowery Electric,Beat,69
Cocteau Twins,Head Over Heels / Sunburst and Snowblind,69
L I T H I C S,Borrowed Floors,69
Asobi Seksu,Citrus,68
Skepta,KONNICHIWA,68
JPEGMAFIA,VETERAN,67
Triad God,Triad,67
Young Thug,Barter 6,67
Bladee,EXETER,66
Madvillain,Madvillainy,66
Mike,tears of joy,66
Varg,Crush,66
Jenny Hval,The Practice of Love,65
Slowdive,Souvlaki,65
Andy Stott,Too Many Voices,64
Clark,Death Peak,64
Holly Herndon,PROTO,64
Kemba,Negus,64
Oxbow,Thin Black Duke,64
Tirzah,Devotion,64
Arca,Mutant,63
Boards of Canada,Music Has the Right to Children,63
BROCKHAMPTON,SATURATION,63
Kanye West,Jesus Is King,63
Nico,Desertshore,63
Siouxsie and the Banshees,Kaleidoscope,63
The Future Sound of London,Dead Cities,63
Animal Collective,Here Comes the Indian,62
Japanese Breakfast,Soft Sounds From Another Planet,62
Radiohead,The Bends,62
Skee Mask,Compro,62
Yung Lean,Starz,62
Armand Hammer,Shrines,61
Bat for Lashes,Lost Girls,61
Joey Beltram,Classics,61
Vince Staples,Big Fish Theory,61
Angel Olsen,My Woman,60
Aphex Twin,...I Care Because You Do,60
Soichi Terada,Sounds from the Far East,60
Actress,AZD,59
Aphex Twin,Selected Ambient Works Volume II,59
Jenny Hval,Blood Bitch,59
Kendrick Lamar,Good Kid M.A.A.D City-(Deluxe Edition),59
Natural Snow Buildings,The Dance of the Moon and the Sun,59
Pan Sonic,Kesto (234.48:4),59
The Fall,Slates,59
Beck,Odelay,58
Cocteau Twins,Victorialand,58
Death Grips,Year of the Snitch,58
Exploded View,Exploded View,58
Grimes,Art Angels,58
Luminous Orange,Drop You Vivid Colours,58
Mike,War in My Pen,58
Rosalía,Los Ángeles,58
Daughters,You Won't Get What You Want,57
OOIOO,Feather Float,57
Radiohead,Amnesiac,57
Anderson .Paak,Ventura,56
Drexciya,Neptunes Lair,56
Jefre Cantu-Ledesma,IN SUMMER,56
Thundercat,Drunk,56
Yves Tumor,Heaven to a Tortured Mind,56
Ab-Soul,Do What Thou Wilt.,55
Animal Collective,Merriweather Post Pavilion,55
Bitch Ass Darius,Follow The Sound,55
Esperanza Spalding,Emily's D+Evolution,55
Fiona Apple,Tidal,55
Jay Rock,90059,55
Kelly Lee Owens,Kelly Lee Owens,55
Nilüfer Yanya,Miss Universe,55
Protomartyr,The Agent Intellect,55
Solange,When I Get Home,55
Swans,Soundtracks For The Blind,55
Allah-Las,Allah-Las,54
Ariel Pink,pom pom,54
Carly Rae Jepsen,Dedicated,54
Gorillaz,Plastic Beach,54
James Ferraro,"NYC, Hell 3:00AM",54
Tim Buckley,Starsailor,54
black midi,schlagenheim,53
Burial,Untrue,53
Dedekind Cut,$uccessor (ded004),53
DJ Sprinkles,Midtown 120 Blues,53
Kanye West,My Beautiful Dark Twisted Fantasy,53
MOMA READY,The NYC Dance Project,53
ana roxanne,~~~,52
Autechre,Chiastic Slide,52
Bedouine,Bedouine,52
George Clanton,Slide,52
Kanye West,The College Dropout,52
Kendrick Lamar,To Pimp a Butterfly,52
Meira Asher,Spears into Hooks,52
serpentwithfeet,soil,52
Special Request,Bedroom Tapes,52
The Field,From Here We Go Sublime,52
Tujiko Noriko,Make Me Hard,52
(Sandy) Alex G,House of Sugar,51
Anthony Naples,Fog FM,51
Barry Adamson,Moss Side Story,51
Danny Brown,XXX,51
Four Tet,Sixteen Oceans,51
His Name Is Alive,Livonia,51
Vampire Weekend,Modern Vampires of the City,51
Xiu Xiu,Girl with Basket of Fruit,51
Alex G,Rocket,50
Alvvays,Antisocialites,50
Angel Olsen,Burn Your Fire for No Witness,50
Arca,Arca,50
Cate le Bon,Mug Museum,50
Korridor,End of Cycle,50
Mac DeMarco,This Old Dog,50
Nxworries,Yes Lawd!,50
The Brian Jonestown Massacre,Methodrone,50
The Cure,Disintegration,50
Actress,R.I.P.,49
Aisha Devi,DNA Feelings,49
Animal Collective,Strawberry Jam,49
Animal Collective,Water Curses,49
Forest Swords,Compassion,49
Jesca Hoop,Memories Are Now,49
